Time,Psychr. dry temp,Psychro wet temp,Hygrom. hum,Hygrom. temp.,Barometer press.,Cloud cover ,Visibility
2021-09-06 09:00,,,,,,,
2021-09-06 09:05,,,,,,,
2021-09-06 09:10,,,,,,,
2021-09-06 09:15,,,,,,,
2021-09-06 09:20,,,,,,,
2021-09-06 09:25,,,,,,,
2021-09-06 09:30,,,,,,,
2021-09-06 09:35,19.2,16.1,62,22,1020,3/8,perfect
2021-09-06 09:40,19.1,15.5,66,20,1020,,
2021-09-06 09:45,18.7,15.6,68.5,19,1020,,
2021-09-06 09:50,17.9,15.5,70,19,1020,,
2021-09-06 09:55,18.5,15.7,69,19,1020,,
2021-09-06 10:00,17.8,15.3,73,18.5,1020,,
2021-09-06 10:05,18,15.2,73,18,1020,6/8,perfect
2021-09-06 10:10,17.3,15,75,17.5,1019.5,,
2021-09-06 10:15,18,15.3,75,17.5,1019.5,,
2021-09-06 10:20,18.1,15.4,75,17,1019.5,,
2021-09-06 10:25,18.9,16.1,73,18,1019.5,,
2021-09-06 10:30,19.2,16.1,70,19,1020.5,,
2021-09-06 10:35,17.8,16,70,20,1020.5,7/8,perfect
2021-09-06 10:40,17.8,15.9,68,19.5,1020,,
2021-09-06 10:45,18.4,15.9,67.5,21,1020,,
2021-09-06 10:50,20,17,64.5,21.5,1020,,
2021-09-06 10:55,19.4,16.4,66,21.2,1020,,
2021-09-06 11:00,19.4,16.2,68,21,1020,7/8,perfect
2021-09-06 11:05,,,,,,,
2021-09-06 11:10,,,,,,,
2021-09-06 11:15,,,,,,,
2021-09-06 11:20,18.5,17,69.5,20,1020,7/8,perfect
2021-09-06 11:25,19.2,16.5,70,20,1020,,
2021-09-06 11:30,18,16,69.5,20,1020,,
2021-09-06 11:35,18.8,16.5,68,20,1020.5,,
2021-09-06 11:40,19.2,17.2,67,21,1021,,
2021-09-06 11:45,18.5,16.5,65,21,1021,,
2021-09-06 11:50,19.3,17.7,63.5,22,1021,7/8,perfect
2021-09-06 11:55,19,17.2,63,22,1020.5,,
2021-09-06 12:00,19,17,64,22,1021,,
2021-09-06 12:05,18.5,17.2,65.5,21,1020.5,,
2021-09-06 12:10,18,16.7,68,20,1021,,
2021-09-06 12:15,17.5,16,69,19.5,1021,,
2021-09-06 12:20,18.3,16.3,69,20,1021,6/8,perfect
2021-09-06 12:25,18.2,16.2,67,20,1020.5,,
2021-09-06 12:30,18.6,17,65.5,21,1021,,
2021-09-06 12:35,19,16.5,65,21,1021,,
2021-09-06 12:40,18.6,16.6,64.5,21,1020.5,,
2021-09-06 12:45,19.2,18.2,63,22,1020.5,,
2021-09-06 12:50,19,17.3,64,22,1020.5,7/8,perfect
2021-09-06 12:55,19.2,17.5,63,22,1020.5,,
2021-09-06 13:00,18.8,17.8,63.5,22,1020.5,,
2021-09-06 13:05,18.8,17.2,64,21.5,1020.5,,
2021-09-06 13:10,,,,,,,
2021-09-06 13:15,,,,,,,
2021-09-06 13:20,,,,,,,
2021-09-06 13:25,19.8,17,59,23.5,1020.5,7/8,perfect
2021-09-06 13:30,19.6,16,59,23,1020.5,,
2021-09-06 13:35,20.4,16.4,59.5,23,1020.5,,
2021-09-06 13:40,20,16.4,59.5,22.5,1020.5,,
2021-09-06 13:45,20.1,16.4,58,23,1020.5,,
2021-09-06 13:50,20.8,18,55,24,1020.5,,
2021-09-06 13:55,20,16.1,56.5,24.5,1020.5,7/8,perfect
2021-09-06 14:00,20.8,16.6,57,24,1021,,
2021-09-06 14:05,20.6,16.4,56.5,24,1021,,
2021-09-06 14:10,21.6,17,56,24,1021,,
2021-09-06 14:15,21.8,17,56,24,1020.5,,
2021-09-06 14:20,21.2,17.2,58,24,1020.5,,
2021-09-06 14:25,20.4,16.6,58,23,1020.5,8/8,perfect
2021-09-06 14:30,20.4,16.6,57.5,23,1020.5,,
2021-09-06 14:35,20.2,17.2,59,23,1020.5,,
2021-09-06 14:40,19.6,16.8,59.5,22.5,1020.5,,
2021-09-06 14:45,19.6,16.6,61,22,1020.5,,
2021-09-06 14:50,19.8,16,60,22,1020.5,,
2021-09-06 14:55,20.6,16.8,60,22.5,1020.5,7/8,perfect
2021-09-06 15:00,20.6,17.6,60.5,22.5,1020.5,,
2021-09-07 09:00,,,,,,,
2021-09-07 09:05,,,,,,,
2021-09-07 09:10,,,,,,,
2021-09-07 09:15,17.7,14.2,67,19,1021,4/8,15
2021-09-07 09:20,18.6,15,64.5,19,1021.2,,
2021-09-07 09:25,18.3,14.7,64,19,1021.2,,
2021-09-07 09:30,17.8,14.5,65,19,1021.2,,
2021-09-07 09:35,17.8,14.7,66,18,1021.2,,
2021-09-07 09:40,17.4,15.1,67,18,1021.3,,
2021-09-07 09:45,18.1,15.1,66.5,18.5,1021.4,5/8,15
2021-09-07 09:50,18.3,14.8,64.5,18.8,1021.5,,
2021-09-07 09:55,19,15.2,63,19.5,1021.5,,
2021-09-07 10:00,18,14.7,63.5,19.5,1021.5,,
2021-09-07 10:05,18,14.3,61.5,19.8,1021.4,,
2021-09-07 10:10,18.2,14.4,61.5,19.5,1021.3,,
2021-09-07 10:15,18.2,14.8,64.5,19.5,1021.3,6/8,perfect
2021-09-07 10:20,18.2,14.8,64.5,19.5,1021.3,,
2021-09-07 10:25,18.9,15.2,64.5,19.5,1021.3,,
2021-09-07 10:30,19.2,14.8,63.5,19.5,1021.2,,
2021-09-07 10:35,19.2,15,61,20,1021.2,,
2021-09-07 10:40,19.1,14.9,62,20.5,1021.5,,
2021-09-07 10:45,19.1,14.8,62,20,1021.6,4/8,perfect
2021-09-07 10:50,19.7,15.2,60.5,20,1021.8,,
2021-09-07 10:55,,,60,20.5,1021.7,,
2021-09-07 11:00,,,,,,,
2021-09-07 11:05,19.3,16,58,22,1021.5,6/8,perfect
2021-09-07 11:10,19.5,16.5,58,22,1022,,
2021-09-07 11:15,19.3,15.6,58,22,1022,,
2021-09-07 11:20,19.5,16,59,22,1021.5,,
2021-09-07 11:25,18.3,15.3,57.5,22.5,1021.5,,
2021-09-07 11:30,18.8,15.2,57,22,1021.5,,
2021-09-07 11:35,18.6,15.3,56,23,1021.5,4/8,perfect
2021-09-07 11:40,19.2,16.5,59,22,1021.5,,
2021-09-07 11:45,19.6,16.3,58,21,1021.5,,
2021-09-07 11:50,20,16.5,58,21,1021.5,,
2021-09-07 11:55,19.6,17,58,21.5,1021.5,,
2021-09-07 12:00,19.5,15.5,58,21,1021.5,,
2021-09-07 12:05,20,16,57,21,1021,5/8,perfect
2021-09-07 12:10,20,16.5,57,22,1021.5,,
2021-09-07 12:15,20.5,15.8,55,22,1021.5,,
2021-09-07 12:20,20,16.5,56.5,22,1021.5,,
2021-09-07 12:25,20.6,16.2,56,23,1021.5,,
2021-09-07 12:30,20.5,17.2,55,23,1021.5,,
2021-09-07 12:35,20,15.2,56,23,1021.5,5/8,perfect
2021-09-07 12:40,21.2,18,54,23,1021.5,,
2021-09-07 12:45,21,17.8,55.5,23,1021.5,,
2021-09-07 12:50,21,17.2,53,23,1021.5,,
2021-09-07 12:55,21.2,16.2,53.5,24,1021.5,,
2021-09-07 13:00,,,,,,,
2021-09-07 13:05,15.8,21.8,56,23,1021.5,5/8,perfect
2021-09-07 13:10,18,21.8,56,22.5,1021.5,,
2021-09-07 13:15,15,20.4,54,23.5,1021.5,,
2021-09-07 13:20,15,20,53,24,1022,,
2021-09-07 13:25,16.4,22.2,53,24.5,1021,,
2021-09-07 13:30,15.8,22.4,53,24,1021,4/8,perfect
2021-09-07 13:35,15.4,21.8,51.5,24.5,1021,,
2021-09-07 13:40,18.8,22,50,25.5,1021,,
2021-09-07 13:45,15.4,21,51.5,25.5,1021,,
2021-09-07 13:50,15.4,21,53,24,1020,,
2021-09-07 13:55,16.4,22.2,54.5,24,1021,,
2021-09-07 14:00,15.4,21.6,54.5,23,1021,3/8,perfect
2021-09-07 14:05,15,21,55.5,22.5,1021,,
2021-09-07 14:10,16.8,21.2,52,22,1021,,
2021-09-07 14:15,15.8,22,54.5,23,1021,,
2021-09-07 14:20,15.4,21.2,52,23,1021,,
2021-09-07 14:25,16.2,21.8,53,24,1021,,
2021-09-07 14:30,16,22,51,25,1021,4/8,perfect
2021-09-07 14:35,15.8,21.8,51.5,25,1021,,
2021-09-07 14:40,15.8,22.4,50,26,1021,,
2021-09-07 14:45,16.2,23.4,47.5,26.5,1021,,
2021-09-07 14:50,15.4,22,49,27,1021,,
2021-09-07 14:55,15.8,22,50.5,26,1021,,
2021-09-07 15:00,15.8,22.2,52,25,1021,6/8,perfect
2021-09-08 09:00,,,,,,,
2021-09-08 09:05,,,,,,,
2021-09-08 09:10,,,,,,,
2021-09-08 09:15,18.1,14.9,66.3,17,1016.5,7/8,15
2021-09-08 09:20,18,14.8,66,18.2,1016.5,,
2021-09-08 09:25,18.2,15,66.3,18.2,1017,,
2021-09-08 09:30,18.3,15,66,18.5,1017,,
2021-09-08 09:35,19,15.3,65,19,1017,,
2021-09-08 09:40,19,15,64.8,19,1017,,
2021-09-08 09:45,19,15,64.8,19,1017,7/8,15
2021-09-08 09:50,19,15.1,65,18.7,1017,,
2021-09-08 09:55,19.1,15,65,18.7,1017.5,,
2021-09-08 10:00,19.1,15,64.8,19,1017.5,,
2021-09-08 10:05,19,16,64.8,19,1018,,
2021-09-08 10:10,19.9,15.2,63.9,19.5,1018,,
2021-09-08 10:15,20,15.9,63,19.9,1018,7/8,15
2021-09-08 10:20,20.1,16.1,63,20,1018,,
2021-09-08 10:25,20.1,16.2,62.5,20,1018,,
2021-09-08 10:30,20.1,16.2,63,20,1017.5,,
2021-09-08 10:35,20.6,15.9,63,20,1017.5,,
2021-09-08 10:40,20.8,16.1,62.8,20,1018,,
2021-09-08 10:45,20.6,16,62.5,20.3,1017.5,,
2021-09-08 10:50,20.5,16.2,63,20.3,1017.5,,
2021-09-08 10:55,20.9,16.1,63,20,1017.5,,
2021-09-08 11:00,21,16.2,62.5,20.5,1017.5,,
2021-09-08 11:05,20.8,18,61,22,1017.5,7/8,perfect
2021-09-08 11:10,21,18,61,22,1017.5,,
2021-09-08 11:15,21,20,58,23,1017.5,,
2021-09-08 11:20,22.6,17.4,58,24,1017.5,,
2021-09-08 11:25,21,16,59,22,1017.5,,
2021-09-08 11:30,21.6,17.6,59,22,1017.5,,
2021-09-08 11:35,20.8,19.8,59,22,1017.5,7/8,perfect
2021-09-08 11:40,22,17,57,23,1017.5,,
2021-09-08 11:45,22,19.5,58,23,1017.5,,
2021-09-08 11:50,22.4,19.8,59,23,1017,,
2021-09-08 11:55,22.5,18,56.5,23,1017,,
2021-09-08 12:00,23.2,19.6,55.5,24,1017,,
2021-09-08 12:05,23.2,20,55,25,1017,7/8,perfect
2021-09-08 12:10,23.8,18.8,54,25.5,1017,,
2021-09-08 12:15,23.8,20.5,54,25,1017,,
2021-09-08 12:20,24.2,20,53,25.5,1017,,
2021-09-08 12:25,24.5,20.5,51,26,1016.5,,
2021-09-08 12:30,24,19.2,51.5,27,1016.5,,
2021-09-08 12:35,24.5,20.5,52,27,1016.5,7/8,perfect
2021-09-08 12:40,24.8,18,52,27,1016.5,,
2021-09-08 12:45,24.8,20.5,52,27,1016.5,,
2021-09-08 12:50,25,20.8,52,26,1016.5,,
2021-09-08 12:55,25,21.5,53,26,1016.5,,
2021-09-08 13:00,25,21.4,51.5,27,1016.5,,
2021-09-08 13:05,25,18,50.5,27,1016,4/8,perfect
2021-09-08 13:10,25,17.8,51,27,1016.5,,
2021-09-08 13:15,24.6,19,51,25.5,1016.5,,
2021-09-08 13:20,25.8,19.4,50,27,1016.5,,
2021-09-08 13:25,26,19,50,27,1016,,
2021-09-08 13:30,26.4,19.6,50.5,26.5,1016,,
2021-09-08 13:35,27.2,19.6,51,26.5,1016,3/8,perfect
2021-09-08 13:40,28.4,19.8,50.5,26.5,1016,,
2021-09-08 13:45,26.8,19.8,50.5,26.5,1016,,
2021-09-08 13:50,25.8,18.6,50.5,26,1016,,
2021-09-08 13:55,25.6,18.8,51,26,1016,,
2021-09-08 14:00,25.4,18.8,51.5,26,1016,,
2021-09-08 14:05,25.6,18.6,51,25.5,1016,1/8,perfect
2021-09-08 14:10,25.4,18.4,51,26.5,1016,,
2021-09-08 14:15,25.4,20,50.5,27.5,1016,,
2021-09-08 14:20,25.4,18.8,48.5,28.5,1016,,
2021-09-08 14:25,25.8,18.4,49.5,27,1016,,
2021-09-08 14:30,25.4,18.6,51,26.5,1016,,
2021-09-08 14:35,25.2,18.8,51.5,25.5,1016,1/8,perfect
2021-09-08 14:40,25.4,19,51.5,25.5,1016,,
2021-09-08 14:45,26,19,51.5,25.5,1016,,
2021-09-08 14:50,25.2,17.8,52.5,25.5,1016,,
2021-09-08 14:55,25.6,18.4,52,26,1016,,
2021-09-08 15:00,26,20.2,46,29.5,1015.5,,
2021-09-09 09:00,,,,,,,
2021-09-09 09:05,,,,,,,
2021-09-09 09:10,,,,,,,
2021-09-09 09:15,19,15.8,66,20,1010,0,perfect
2021-09-09 09:20,19.4,16,62,21,1009.5,,
2021-09-09 09:25,19.3,16.3,63.5,21,1009.5,,
2021-09-09 09:30,19.4,16,64,21,1009.5,,
2021-09-09 09:35,19.4,16.1,64,21,1009,,
2021-09-09 09:40,19.4,16.1,64,22,1009,,
2021-09-09 09:45,19.4,17.4,64.5,21,1009.5,0,perfect
2021-09-09 09:50,19.8,16.7,65,20.7,1009,,
2021-09-09 09:55,20,17,65,20.2,1009,,
2021-09-09 10:00,20.4,17.2,65,20.2,1009.5,,
2021-09-09 10:05,20.6,17.2,65,21,1009,,
2021-09-09 10:10,20.7,17.4,64.5,20.5,1009,,
2021-09-09 10:15,20.7,17.2,64,21,1009,0,perfect
2021-09-09 10:20,20.8,17.3,64,21,1009,,
2021-09-09 10:25,20.9,17.2,64,21,1009.5,,
2021-09-09 10:30,21.1,17.3,63,21,1009,,
2021-09-09 10:35,21.4,17.6,61,22,1009,,
2021-09-09 10:40,21.8,18.4,59,22.6,1009,,
2021-09-09 10:45,22,18.4,59,23,1009.5,1/8,perfect
2021-09-09 10:50,22,18.4,60,23.7,1009,,
2021-09-09 10:55,22.3,18.4,59,23,1009,,
2021-09-09 11:00,22.6,18.2,57,24,1009.5,,
2021-09-09 11:05,23,20,57,24,1009.5,1/8,perfect
2021-09-09 11:10,23,19,58,23,1009.5,,
2021-09-09 11:15,23,19.8,59,23,1009.5,,
2021-09-09 11:20,23.2,19.2,59,22.5,1009.5,,
2021-09-09 11:25,23.2,19.8,59,22,1009.5,,
2021-09-09 11:30,23.4,19.8,57,23,1009.5,,
2021-09-09 11:35,23.8,20,57,23,1009.5,1/8,perfect
2021-09-09 11:40,23.8,19.8,57,23,1009.5,,
2021-09-09 11:45,24,20.5,55,23,1009.5,,
2021-09-09 11:50,24,20.4,54.5,23,1009.5,,
2021-09-09 11:55,24.2,21.2,53,22.5,1009.5,,
2021-09-09 12:00,24.2,21.2,53,23,1009.5,,
2021-09-09 12:05,24.5,21.5,52.5,23,1009.5,1/8,perfect
