timestamp,T,x,y,z,Tsig,xsig,ysig,zsig,xTcov,xycov,xzcov,zTcov,yzcov,yTcov,rsig,psig,qsig,tr,tp,tq,Cd,ustar,Tstar,hf,MOs,mf,w,u,v,dir,vel
2021-09-02 12:49:04,17.77,1.27,0.21,-0.08,0.7192,1.1201,0.8019,0.5494,-0.4476,-0.0769,-0.2464,0.1652,0.09,-0.0135,0.5272,1.1126,0.8269,0.4096,0.8645,0.6426,0.15841,0.5122,0.3226,199.931,-0.015,-0.318,-0.08,0.21,1.27,189.4,1.28
2021-09-02 12:59:04,17.28,1.51,1.19,0.12,0.5829,0.9441,1.116,0.5934,-0.2267,0.2908,-0.0495,0.0873,0.1656,-0.2,0.5899,1.1458,0.91,0.3064,0.5951,0.4726,0.04662,0.4157,0.2099,105.043,-0.015,-0.21,0.12,1.19,1.51,218.1,1.92
2021-09-02 13:09:04,17.3,0.88,0.65,-0.05,0.582,0.877,0.8856,0.4519,-0.0609,-0.2705,-0.1124,0.0963,0.1407,-0.1132,0.452,0.718,1.0188,0.413,0.6561,0.931,0.15035,0.4243,0.2269,116.658,-0.016,-0.219,-0.05,0.65,0.88,216.6,1.09
2021-09-02 13:19:04,17.78,1.54,0.25,-0.07,0.5725,0.991,1.0048,0.5292,-0.1858,0.0251,-0.129,0.145,0.0086,-0.1359,0.5198,1.0004,1.0004,0.3332,0.6413,0.6414,0.05312,0.3595,0.4034,175.896,-0.039,-0.157,-0.07,0.25,1.54,189.3,1.56
2021-09-02 13:29:04,18.22,0.87,-0.09,0.01,0.8124,0.9002,0.8103,0.473,-0.4111,-0.1355,-0.1576,0.1921,0.0857,0.1015,0.4789,0.9114,0.7942,0.5505,1.0475,0.9129,0.23694,0.4235,0.4535,233.089,-0.032,-0.217,0.01,-0.09,0.87,174.2,0.87
2021-09-02 13:39:04,17.53,2.06,-0.04,-0.12,0.75,1.0913,1.226,0.5872,-0.4495,0.0035,-0.2448,0.1587,0.214,-0.1951,0.5653,1.1028,1.226,0.2737,0.534,0.5936,0.07624,0.5703,0.2783,190.624,-0.011,-0.395,-0.12,-0.04,2.06,178.8,2.06
2021-09-02 13:49:04,18.45,0.35,0.06,0.0,0.9112,0.9283,0.8008,0.442,-0.1421,-0.1533,-0.0515,0.1204,0.0307,0.035,0.4432,0.894,0.8384,1.2566,2.5347,2.377,0.4822,0.2449,0.4918,146.406,-0.102,-0.073,0.0,0.06,0.35,190.4,0.35
2021-09-02 13:59:04,17.84,0.18,1.11,0.06,0.757,1.0932,0.8714,0.4711,0.0115,-0.0744,0.0185,0.1045,0.041,-0.252,0.4678,0.8661,1.0989,0.4141,0.7666,0.9726,0.03522,0.212,0.493,127.191,-0.137,-0.055,0.06,1.11,0.18,260.8,1.13
2021-09-02 14:09:04,17.69,0.59,0.97,-0.04,0.6363,0.8669,0.91,0.4818,-0.0297,0.1801,-0.0683,0.0835,0.0792,-0.1845,0.4848,0.9821,0.7824,0.4274,0.8659,0.6899,0.08128,0.3233,0.2582,101.294,-0.031,-0.127,-0.04,0.97,0.59,238.6,1.13
2021-09-02 14:19:04,18.27,0.82,0.48,0.07,0.6015,1.1798,0.9199,0.4991,-0.0964,-0.1313,-0.1027,0.1093,0.094,-0.139,0.5096,1.0622,1.0485,0.5337,1.1124,1.0981,0.15268,0.3731,0.293,132.465,-0.026,-0.169,0.07,0.48,0.82,210.3,0.95
